"threshold","TP","FP","TN","FN","sensitivity","specificity"
0.1,25,15,17,2,0.925925925925926,0.53125
0.101,25,15,17,2,0.925925925925926,0.53125
0.102,25,15,17,2,0.925925925925926,0.53125
0.103,25,15,17,2,0.925925925925926,0.53125
0.104,25,15,17,2,0.925925925925926,0.53125
0.105,25,15,17,2,0.925925925925926,0.53125
0.106,25,15,17,2,0.925925925925926,0.53125
0.107,25,15,17,2,0.925925925925926,0.53125
0.108,25,15,17,2,0.925925925925926,0.53125
0.109,25,15,17,2,0.925925925925926,0.53125
0.11,25,15,17,2,0.925925925925926,0.53125
0.111,25,15,17,2,0.925925925925926,0.53125
0.112,25,15,17,2,0.925925925925926,0.53125
0.113,25,15,17,2,0.925925925925926,0.53125
0.114,25,15,17,2,0.925925925925926,0.53125
0.115,25,15,17,2,0.925925925925926,0.53125
0.116,25,15,17,2,0.925925925925926,0.53125
0.117,25,15,17,2,0.925925925925926,0.53125
0.118,25,15,17,2,0.925925925925926,0.53125
0.119,25,15,17,2,0.925925925925926,0.53125
0.12,25,15,17,2,0.925925925925926,0.53125
0.121,25,15,17,2,0.925925925925926,0.53125
0.122,25,15,17,2,0.925925925925926,0.53125
0.123,25,15,17,2,0.925925925925926,0.53125
0.124,25,15,17,2,0.925925925925926,0.53125
0.125,25,15,17,2,0.925925925925926,0.53125
0.126,25,15,17,2,0.925925925925926,0.53125
0.127,25,15,17,2,0.925925925925926,0.53125
0.128,25,15,17,2,0.925925925925926,0.53125
0.129,25,15,17,2,0.925925925925926,0.53125
0.13,25,15,17,2,0.925925925925926,0.53125
0.131,25,15,17,2,0.925925925925926,0.53125
0.132,25,15,17,2,0.925925925925926,0.53125
0.133,25,15,17,2,0.925925925925926,0.53125
0.134,25,15,17,2,0.925925925925926,0.53125
0.135,25,15,17,2,0.925925925925926,0.53125
0.136,25,15,17,2,0.925925925925926,0.53125
0.137,25,15,17,2,0.925925925925926,0.53125
0.138,25,15,17,2,0.925925925925926,0.53125
0.139,25,15,17,2,0.925925925925926,0.53125
0.14,25,15,17,2,0.925925925925926,0.53125
0.141,25,15,17,2,0.925925925925926,0.53125
0.142,25,15,17,2,0.925925925925926,0.53125
0.143,25,15,17,2,0.925925925925926,0.53125
0.144,25,15,17,2,0.925925925925926,0.53125
0.145,25,15,17,2,0.925925925925926,0.53125
0.146,25,15,17,2,0.925925925925926,0.53125
0.147,25,15,17,2,0.925925925925926,0.53125
0.148,25,15,17,2,0.925925925925926,0.53125
0.149,25,15,17,2,0.925925925925926,0.53125
0.15,25,15,17,2,0.925925925925926,0.53125
0.151,25,15,17,2,0.925925925925926,0.53125
0.152,25,15,17,2,0.925925925925926,0.53125
0.153,25,14,18,2,0.925925925925926,0.5625
0.154,25,14,18,2,0.925925925925926,0.5625
0.155,25,14,18,2,0.925925925925926,0.5625
0.156,25,14,18,2,0.925925925925926,0.5625
0.157,25,14,18,2,0.925925925925926,0.5625
0.158,25,14,18,2,0.925925925925926,0.5625
0.159,25,14,18,2,0.925925925925926,0.5625
0.16,25,14,18,2,0.925925925925926,0.5625
0.161,25,13,19,2,0.925925925925926,0.59375
0.162,25,13,19,2,0.925925925925926,0.59375
0.163,25,13,19,2,0.925925925925926,0.59375
0.164,25,13,19,2,0.925925925925926,0.59375
0.165,25,13,19,2,0.925925925925926,0.59375
0.166,24,13,19,3,0.888888888888889,0.59375
0.167,24,13,19,3,0.888888888888889,0.59375
0.168,24,13,19,3,0.888888888888889,0.59375
0.169,24,13,19,3,0.888888888888889,0.59375
0.17,24,13,19,3,0.888888888888889,0.59375
0.171,24,13,19,3,0.888888888888889,0.59375
0.172,24,13,19,3,0.888888888888889,0.59375
0.173,24,13,19,3,0.888888888888889,0.59375
0.174,24,13,19,3,0.888888888888889,0.59375
0.175,24,13,19,3,0.888888888888889,0.59375
0.176,24,13,19,3,0.888888888888889,0.59375
0.177,24,13,19,3,0.888888888888889,0.59375
0.178,24,13,19,3,0.888888888888889,0.59375
0.179,24,13,19,3,0.888888888888889,0.59375
0.18,24,13,19,3,0.888888888888889,0.59375
0.181,24,13,19,3,0.888888888888889,0.59375
0.182,24,13,19,3,0.888888888888889,0.59375
0.183,24,13,19,3,0.888888888888889,0.59375
0.184,24,13,19,3,0.888888888888889,0.59375
0.185,24,13,19,3,0.888888888888889,0.59375
0.186,24,13,19,3,0.888888888888889,0.59375
0.187,24,13,19,3,0.888888888888889,0.59375
0.188,24,13,19,3,0.888888888888889,0.59375
0.189,24,13,19,3,0.888888888888889,0.59375
0.19,24,13,19,3,0.888888888888889,0.59375
0.191,24,13,19,3,0.888888888888889,0.59375
0.192,24,13,19,3,0.888888888888889,0.59375
0.193,24,13,19,3,0.888888888888889,0.59375
0.194,24,13,19,3,0.888888888888889,0.59375
0.195,24,13,19,3,0.888888888888889,0.59375
0.196,24,13,19,3,0.888888888888889,0.59375
0.197,24,13,19,3,0.888888888888889,0.59375
0.198,24,13,19,3,0.888888888888889,0.59375
0.199,24,13,19,3,0.888888888888889,0.59375
0.2,24,13,19,3,0.888888888888889,0.59375
0.201,24,13,19,3,0.888888888888889,0.59375
0.202,24,13,19,3,0.888888888888889,0.59375
0.203,24,13,19,3,0.888888888888889,0.59375
0.204,24,13,19,3,0.888888888888889,0.59375
0.205,24,13,19,3,0.888888888888889,0.59375
0.206,24,13,19,3,0.888888888888889,0.59375
0.207,24,13,19,3,0.888888888888889,0.59375
0.208,24,13,19,3,0.888888888888889,0.59375
0.209,24,13,19,3,0.888888888888889,0.59375
0.21,24,13,19,3,0.888888888888889,0.59375
0.211,24,13,19,3,0.888888888888889,0.59375
0.212,24,13,19,3,0.888888888888889,0.59375
0.213,24,13,19,3,0.888888888888889,0.59375
0.214,24,13,19,3,0.888888888888889,0.59375
0.215,24,13,19,3,0.888888888888889,0.59375
0.216,24,13,19,3,0.888888888888889,0.59375
0.217,24,13,19,3,0.888888888888889,0.59375
0.218,24,11,21,3,0.888888888888889,0.65625
0.219,24,11,21,3,0.888888888888889,0.65625
0.22,24,11,21,3,0.888888888888889,0.65625
0.221,24,11,21,3,0.888888888888889,0.65625
0.222,24,11,21,3,0.888888888888889,0.65625
0.223,24,11,21,3,0.888888888888889,0.65625
0.224,24,11,21,3,0.888888888888889,0.65625
0.225,24,11,21,3,0.888888888888889,0.65625
0.226,24,11,21,3,0.888888888888889,0.65625
0.227,24,11,21,3,0.888888888888889,0.65625
0.228,24,11,21,3,0.888888888888889,0.65625
0.229,24,11,21,3,0.888888888888889,0.65625
0.23,24,11,21,3,0.888888888888889,0.65625
0.231,24,11,21,3,0.888888888888889,0.65625
0.232,24,11,21,3,0.888888888888889,0.65625
0.233,24,11,21,3,0.888888888888889,0.65625
0.234,24,11,21,3,0.888888888888889,0.65625
0.235,24,11,21,3,0.888888888888889,0.65625
0.236,24,11,21,3,0.888888888888889,0.65625
0.237,24,11,21,3,0.888888888888889,0.65625
0.238,24,11,21,3,0.888888888888889,0.65625
0.239,24,11,21,3,0.888888888888889,0.65625
0.24,24,11,21,3,0.888888888888889,0.65625
0.241,24,11,21,3,0.888888888888889,0.65625
0.242,24,11,21,3,0.888888888888889,0.65625
0.243,24,11,21,3,0.888888888888889,0.65625
0.244,24,11,21,3,0.888888888888889,0.65625
0.245,24,11,21,3,0.888888888888889,0.65625
0.246,24,11,21,3,0.888888888888889,0.65625
0.247,24,11,21,3,0.888888888888889,0.65625
0.248,24,11,21,3,0.888888888888889,0.65625
0.249,24,11,21,3,0.888888888888889,0.65625
0.25,24,11,21,3,0.888888888888889,0.65625
0.251,24,11,21,3,0.888888888888889,0.65625
0.252,24,11,21,3,0.888888888888889,0.65625
0.253,24,11,21,3,0.888888888888889,0.65625
0.254,24,11,21,3,0.888888888888889,0.65625
0.255,24,11,21,3,0.888888888888889,0.65625
0.256,24,10,22,3,0.888888888888889,0.6875
0.257,24,10,22,3,0.888888888888889,0.6875
0.258,24,10,22,3,0.888888888888889,0.6875
0.259,24,10,22,3,0.888888888888889,0.6875
0.26,24,10,22,3,0.888888888888889,0.6875
0.261,24,10,22,3,0.888888888888889,0.6875
0.262,24,10,22,3,0.888888888888889,0.6875
0.263,24,10,22,3,0.888888888888889,0.6875
0.264,24,10,22,3,0.888888888888889,0.6875
0.265,24,10,22,3,0.888888888888889,0.6875
0.266,24,10,22,3,0.888888888888889,0.6875
0.267,24,10,22,3,0.888888888888889,0.6875
0.268,24,10,22,3,0.888888888888889,0.6875
0.269,24,10,22,3,0.888888888888889,0.6875
0.27,23,9,23,4,0.851851851851852,0.71875
0.271,23,9,23,4,0.851851851851852,0.71875
0.272,23,9,23,4,0.851851851851852,0.71875
0.273,23,9,23,4,0.851851851851852,0.71875
0.274,23,9,23,4,0.851851851851852,0.71875
0.275,23,9,23,4,0.851851851851852,0.71875
0.276,23,9,23,4,0.851851851851852,0.71875
0.277,23,9,23,4,0.851851851851852,0.71875
0.278,23,9,23,4,0.851851851851852,0.71875
0.279,23,8,24,4,0.851851851851852,0.75
0.28,23,8,24,4,0.851851851851852,0.75
0.281,23,8,24,4,0.851851851851852,0.75
0.282,23,8,24,4,0.851851851851852,0.75
0.283,23,8,24,4,0.851851851851852,0.75
0.284,23,8,24,4,0.851851851851852,0.75
0.285,23,8,24,4,0.851851851851852,0.75
0.286,23,8,24,4,0.851851851851852,0.75
0.287,23,8,24,4,0.851851851851852,0.75
0.288,23,8,24,4,0.851851851851852,0.75
0.289,23,8,24,4,0.851851851851852,0.75
0.29,23,8,24,4,0.851851851851852,0.75
0.291,23,8,24,4,0.851851851851852,0.75
0.292,23,8,24,4,0.851851851851852,0.75
0.293,23,7,25,4,0.851851851851852,0.78125
0.294,23,7,25,4,0.851851851851852,0.78125
0.295,23,7,25,4,0.851851851851852,0.78125
0.296,23,7,25,4,0.851851851851852,0.78125
0.297,23,7,25,4,0.851851851851852,0.78125
0.298,23,7,25,4,0.851851851851852,0.78125
0.299,23,7,25,4,0.851851851851852,0.78125
0.3,23,7,25,4,0.851851851851852,0.78125
0.301,23,7,25,4,0.851851851851852,0.78125
0.302,23,7,25,4,0.851851851851852,0.78125
0.303,23,7,25,4,0.851851851851852,0.78125
0.304,23,7,25,4,0.851851851851852,0.78125
0.305,23,7,25,4,0.851851851851852,0.78125
0.306,23,7,25,4,0.851851851851852,0.78125
0.307,23,7,25,4,0.851851851851852,0.78125
0.308,23,7,25,4,0.851851851851852,0.78125
0.309,23,7,25,4,0.851851851851852,0.78125
0.31,23,7,25,4,0.851851851851852,0.78125
0.311,23,7,25,4,0.851851851851852,0.78125
0.312,23,7,25,4,0.851851851851852,0.78125
0.313,23,7,25,4,0.851851851851852,0.78125
0.314,23,7,25,4,0.851851851851852,0.78125
0.315,23,7,25,4,0.851851851851852,0.78125
0.316,23,7,25,4,0.851851851851852,0.78125
0.317,23,7,25,4,0.851851851851852,0.78125
0.318,23,7,25,4,0.851851851851852,0.78125
0.319,23,6,26,4,0.851851851851852,0.8125
0.32,23,6,26,4,0.851851851851852,0.8125
0.321,23,6,26,4,0.851851851851852,0.8125
0.322,23,6,26,4,0.851851851851852,0.8125
0.323,23,6,26,4,0.851851851851852,0.8125
0.324,23,6,26,4,0.851851851851852,0.8125
0.325,23,5,27,4,0.851851851851852,0.84375
